,id,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Year,SalaryCap
0,TariqAbdul-Wahad2000,TariqAbdul-Wahad,SG,25,TOT,61,56,25.9,4.5,10.6,0.424,0.0,0.4,0.13,4.4,10.2,0.435,0.426,2.4,3.2,0.7559999999999999,1.7,3.1,4.8,1.6,1.0,0.5,1.7,2.4,11.4,1594920.0,2000,34000000
1,ShareefAbdur-Rahim2000,ShareefAbdur-Rahim,SF,23,VAN,82,82,39.3,7.2,15.6,0.465,0.4,1.2,0.302,6.9,14.4,0.478,0.47700000000000004,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0,20.3,9000000.0,2000,34000000
2,CoryAlexander2000,CoryAlexander,PG,26,DEN,29,2,11.3,1.0,3.4,0.28600000000000003,0.3,1.2,0.257,0.7,2.2,0.302,0.332,0.6,0.8,0.773,0.3,1.2,1.4,2.0,0.8,0.1,1.0,1.3,2.8,1980000.0,2000,34000000
3,RayAllen2000,RayAllen,SG,24,MIL,82,82,37.4,7.8,17.2,0.455,2.1,5.0,0.423,5.7,12.2,0.46799999999999997,0.516,4.3,4.9,0.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1,9000000.0,2000,34000000
4,RaferAlston2000,RaferAlston,PG,23,MIL,27,0,13.4,1.0,3.5,0.284,0.1,0.5,0.214,0.9,3.0,0.29600000000000004,0.3,0.1,0.1,0.75,0.2,0.7,0.9,2.6,0.4,0.0,1.1,1.1,2.2,301875.0,2000,34000000
5,JohnAmaechi2000,JohnAmaechi,C,29,ORL,80,53,21.1,3.8,8.8,0.43700000000000006,0.0,0.1,0.16699999999999998,3.8,8.7,0.439,0.43799999999999994,2.8,3.6,0.7659999999999999,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2.0,10.5,385000.0,2000,34000000
6,DerekAnderson2000,DerekAnderson,SG,25,LAC,64,58,34.4,5.9,13.4,0.43799999999999994,0.9,2.8,0.309,5.0,10.7,0.47200000000000003,0.47,4.2,4.8,0.877,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9,1439400.0,2000,34000000
7,KennyAnderson2000,KennyAnderson,PG,29,BOS,82,82,31.6,5.3,12.0,0.44,1.0,2.7,0.386,4.3,9.3,0.456,0.483,2.4,3.1,0.775,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14.0,6680000.0,2000,34000000
8,NickAnderson2000,NickAnderson,SG,32,SAC,72,72,29.1,4.3,10.9,0.391,1.8,5.5,0.332,2.4,5.3,0.452,0.47600000000000003,0.5,1.1,0.48700000000000004,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8,5051906.0,2000,34000000
9,ShandonAnderson2000,ShandonAnderson,SF,26,HOU,82,82,32.9,4.5,9.5,0.473,1.0,2.7,0.35100000000000003,3.5,6.7,0.523,0.524,2.4,3.1,0.767,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3,2000000.0,2000,34000000
10,ChrisAnstey2000,ChrisAnstey,C,25,CHI,73,11,13.8,2.2,5.0,0.442,0.0,0.1,0.16699999999999998,2.2,4.9,0.447,0.444,1.6,2.0,0.789,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6.0,1113720.0,2000,34000000
11,GregAnthony2000,GregAnthony,PG,32,POR,82,3,18.9,2.1,5.1,0.406,1.1,2.8,0.37799999999999995,1.0,2.2,0.44299999999999995,0.512,1.1,1.4,0.772,0.2,1.4,1.6,2.5,0.7,0.1,1.0,1.7,6.3,1100000.0,2000,34000000
12,BJArmstrong2000,BJArmstrong,PG,32,CHI,27,18,21.6,3.1,6.9,0.446,0.5,1.1,0.44799999999999995,2.6,5.8,0.446,0.48100000000000004,0.8,0.9,0.88,0.1,1.7,1.7,2.9,0.3,0.0,1.5,1.3,7.4,510000.0,2000,34000000
13,DarrellArmstrong2000,DarrellArmstrong,PG,31,ORL,82,82,31.6,5.9,13.6,0.433,1.7,4.9,0.34,4.2,8.7,0.485,0.494,2.7,3.0,0.9109999999999999,0.8,2.5,3.3,6.1,2.1,0.1,3.0,1.7,16.2,4125000.0,2000,34000000
14,ChuckyAtkins2000,ChuckyAtkins,PG,25,ORL,82,0,19.8,3.8,9.0,0.424,0.7,2.0,0.35,3.1,7.0,0.445,0.462,1.2,1.6,0.7290000000000001,0.2,1.3,1.5,3.7,0.6,0.0,1.7,1.7,9.5,385000.0,2000,34000000
15,StaceyAugmon2000,StaceyAugmon,SG,31,POR,59,0,11.7,1.4,3.0,0.474,0.0,0.0,0.0,1.4,2.9,0.48,0.474,0.6,0.9,0.6729999999999999,0.7,1.3,2.0,0.9,0.5,0.2,0.6,1.2,3.4,3960000.0,2000,34000000
16,IsaacAustin2000,IsaacAustin,C,30,WAS,59,23,19.9,2.6,6.0,0.429,0.0,0.1,0.25,2.5,5.9,0.431,0.43,1.6,2.3,0.6859999999999999,1.1,3.7,4.8,1.3,0.3,0.6,1.8,2.2,6.7,4819451.0,2000,34000000
17,AnthonyAvent2000,AnthonyAvent,PF,30,LAC,49,3,7.7,0.6,2.0,0.302,0.0,0.0,,0.6,2.0,0.302,0.302,0.5,0.7,0.7190000000000001,0.5,1.0,1.5,0.2,0.3,0.3,0.5,1.3,1.7,510000.0,2000,34000000
18,WilliamAvery2000,WilliamAvery,PG,20,MIN,59,1,8.2,0.9,3.1,0.309,0.3,1.1,0.28600000000000003,0.6,2.0,0.322,0.359,0.4,0.6,0.667,0.1,0.5,0.7,1.5,0.2,0.0,0.7,1.0,2.6,1196520.0,2000,34000000
19,TobyBailey2000,TobyBailey,SG,24,PHO,46,2,9.8,1.3,3.0,0.414,0.0,0.2,0.2,1.2,2.8,0.431,0.42100000000000004,1.0,1.4,0.6920000000000001,0.6,1.0,1.6,0.7,0.3,0.1,0.5,1.2,3.5,535000.0,2000,34000000
